DisNo.,Historic,Classification Key,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,External IDs,Event Name,ISO,Country,Subregion,Region,Location,Origin,Associated Types,OFDA/BHA Response,Appeal,Declaration,AID Contribution ('000 US$),Magnitude,Magnitude Scale,Latitude,Longitude,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No. Injured,No. Affected,No. Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damage ('000 US$),"Insured Damage, Adjusted ('000 US$)",Total Damage ('000 US$),"Total Damage, Adjusted ('000 US$)",CPI,Admin Units,Entry Date,Last Update,Start Date,End Date,Duration (Days),Season
2004-0535-TWN,No,nat-met-sto-tro,Natural,Meteorological,9,37,GLIDE:TC-2024-000161,Nock-ten (Tonyo/28W),TWN,39,Eastern Asia,0,"Juifang, Taipei areas (Taiwan Sheng province)",Heavy rains,Flood,No,No,No,1068.0,-0.1742557910228709,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2004,10.0,22.0,2004,10.0,25.0,-0.05350922795695202,100.0,1600.0,3000.0,-0.10680809319866849,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm1_code"":925,""adm1_name"":""Taiwan Sheng""}]",2006-05-12,2023-09-25,2004-10-22,2004-10-25,-0.19122249284353773,4
2004-0547-THA,No,nat-hyd-mmw-lan,Natural,Hydrological,8,20,GLIDE:TC-2024-000161,Dengue,THA,41,South-eastern Asia,0,"Baan Huay Nam Khiew village (Muang Krabi district, Krabi province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2004,10.0,18.0,2004,10.0,18.0,-0.054493331297753314,10.0,100.0,3000.0,-0.1069857608287319,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm2_code"":26609,""adm2_name"":""Muang Krabi""}]",2004-11-03,2023-09-25,2004-10-18,2004-10-18,-0.248165637509339,4
2004-0562-IDN,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp000d85g,Dengue,IDN,13,South-eastern Asia,0,Alor district (Nusatenggara Timur province),Heavy rains,"Slide (land, mud, snow, rock)",Yes,Yes,No,1614.0,-0.17686738897259704,Moment Magnitude,-4.572114636466706,1.8236555081534183,Yangtze river,2004,11.0,11.0,2004,11.0,11.0,-0.047112556241743604,311.0,83070.0,3000.0,-0.09768100534256151,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm2_code"":18149,""adm2_name"":""Alor""}]",2005-04-12,2023-09-25,2004-11-11,2004-11-11,-0.248165637509339,4
2004-0563-JPN,No,nat-hyd-flo-riv,Natural,Hydrological,4,27,GLIDE:TC-2024-000161,Dengue,JPN,17,Eastern Asia,0,Sizuoka province,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2004,11.0,11.0,2004,11.0,12.0,-0.05498538296815396,44.0,2290.0,3000.0,-0.1067421662164437,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm1_code"":1687,""adm1_name"":""Sizuoka""}]",2004-11-15,2023-09-25,2004-11-11,2004-11-12,-0.22918458928740526,4
2004-0571-CHN,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp000d3us,Dengue,CHN,6,Eastern Asia,0,Gansu Sheng province,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17689780251834067,Moment Magnitude,1.3059821307647412,0.39833530820524204,Yangtze river,2004,9.0,7.0,2004,9.0,7.0,-0.051048969604948785,19.0,19000.0,3000.0,-0.1045376349752354,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm1_code"":902,""adm1_name"":""Gansu Sheng""}]",2004-11-15,2023-09-25,2004-09-07,2004-09-07,-0.248165637509339,4
2004-0580-PHL,No,nat-met-sto-tro,Natural,Meteorological,9,37,GLIDE:TC-2024-000161,Muifa (Unding/29W),PHL,31,South-eastern Asia,0,"Mindoro Occidental, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Region IV-A (Calabarzon), Region V (Bicol region) provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17412355821528983,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2004,11.0,14.0,2004,11.0,21.0,-0.029644721942520626,240.0,838434.0,3000.0,-0.01328407621458061,10000000.0,10411641.0,147000.0,199782.0,6000.0,9679.0,61.98958593432169,"[{""adm1_code"":2361,""adm1_name"":""Region V (Bicol region)""},{""adm1_code"":67166,""adm1_name"":""Region IV-A (Calabarzon)""},{""adm2_code"":24231,""adm2_name"":""Mindoro Occidental""},{""adm2_code"":24232,""adm2_name"":""Mindoro Oriental""}]",2006-05-12,2023-09-25,2004-11-14,2004-11-21,-0.1152982999558027,4
2004-0580-VNM,No,nat-met-sto-tro,Natural,Meteorological,9,37,GLIDE:TC-2024-000161,Muifa (Unding/29W),VNM,47,South-eastern Asia,0,"Quang Ngai, Quang Nam, Thua Thien - Hue, Quang Tri, Quang Binh provinces",Heavy rains,"Flood|Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2004,11.0,26.0,2004,11.0,26.0,-0.04145396203213616,44.0,500000.0,3000.0,-0.05112772838068013,10000000.0,10411641.0,147000.0,199782.0,23000.0,37103.0,61.98958593432169,"[{""adm1_code"":3371,""adm1_name"":""Quang Binh""},{""adm1_code"":3372,""adm1_name"":""Quang Nam""},{""adm1_code"":3374,""adm1_name"":""Quang Ngai""},{""adm1_code"":3376,""adm1_name"":""Quang Tri""},{""adm1_code"":3383,""adm1_name"":""Thua Thien - Hue""}]",2005-01-03,2023-09-25,2004-11-26,2004-11-26,-0.248165637509339,4
2004-0590-MYS,No,nat-met-sto-sto,Natural,Meteorological,9,33,GLIDE:TC-2024-000161,Dengue,MYS,24,South-eastern Asia,0,Kuala Lumpur province,Heavy rains,"Flood|Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2004,11.0,6.0,2004,11.0,6.0,-0.05498538296815396,44.0,40000.0,3000.0,-0.10252842638644903,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm1_code"":1894,""adm1_name"":""Kuala Lumpur""}]",2004-11-22,2023-09-25,2004-11-06,2004-11-06,-0.248165637509339,4
2004-0600-TUR,No,nat-met-sto-bli,Natural,Meteorological,9,4,GLIDE:TC-2024-000161,Dengue,TUR,44,Western Asia,0,"Istanbul, Ankara, Yozgat, Adana provinces",Heavy rains,Flood,No,No,No,1068.0,-0.17485083865698572,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2004,11.0,21.0,2004,11.0,22.0,-0.05178704711054975,121.0,600.0,3000.0,-0.1069174872929025,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm1_code"":3017,""adm1_name"":""Adana""},{""adm1_code"":3023,""adm1_name"":""Ankara""},{""adm1_code"":3056,""adm1_name"":""Istanbul""},{""adm1_code"":3095,""adm1_name"":""Yozgat""}]",2004-11-30,2023-09-25,2004-11-21,2004-11-22,-0.22918458928740526,4
2004-0602-PHL,No,nat-met-sto-tro,Natural,Meteorological,9,37,GLIDE:TC-2024-000161,Merbok (Violeta),PHL,31,South-eastern Asia,0,Aurora district (Region III (Central Luzon) province),Heavy rains,"Flood|Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2004,11.0,23.0,2004,11.0,28.0,-0.0480966595825449,14.0,22200.0,2000.0,-0.10677300663524716,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm2_code"":24226,""adm2_name"":""Aurora""}]",2005-03-09,2023-09-25,2004-11-23,2004-11-28,-0.1532603963996702,4
2004-0607-IDN,No,nat-geo-ear-gro,Natural,Geophysical,1,13,USGS:usp000d975,Dengue,IDN,13,South-eastern Asia,0,Nabire district (Papua province),Heavy rains,Fire,No,Yes,No,670.0,-0.17687267828490028,Moment Magnitude,-3.9486801308512494,2.535808665390294,Yangtze river,2004,11.0,26.0,2004,11.0,26.0,-0.04735858207694393,213.0,12620.0,3000.0,-0.10556408456628104,10000000.0,10411641.0,147000.0,199782.0,55000.0,88725.0,61.98958593432169,"[{""adm2_code"":73808,""adm2_name"":""Nabire""}]",2005-04-12,2023-09-25,2004-11-26,2004-11-26,-0.248165637509339,4
2004-0609-PHL,No,nat-met-sto-tro,Natural,Meteorological,9,37,GLIDE:TC-2024-000161,Winnie,PHL,31,South-eastern Asia,0,"Real, Infanta, General Nakar areas (Quezon district, Region IV-A (Calabarzon) province), Isabela district (Region II (Cagayan Valley) province), Bulacan, Nueva Ecija, Aurora districts (Region III (Central Luzon) province), Rizal district (Region IV-A (Calabarzon) province), Camarines Sur district (Region V (Bicol region) province)",Heavy rains,"Flood|Slide (land, mud, snow, rock)",Yes,Yes,No,17278.0,-0.17485083865698572,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2004,11.0,29.0,2004,11.0,30.0,0.34308441838596976,1023.0,880000.0,3000.0,-0.008551971519262552,10000000.0,10411641.0,147000.0,199782.0,78200.0,126150.0,61.98958593432169,"[{""adm2_code"":24217,""adm2_name"":""Isabela""},{""adm2_code"":24242,""adm2_name"":""Camarines Sur""},{""adm2_code"":24221,""adm2_name"":""Bulacan""},{""adm2_code"":24222,""adm2_name"":""Nueva Ecija""},{""adm2_code"":24226,""adm2_name"":""Aurora""},{""adm2_code"":24234,""adm2_name"":""Quezon""},{""adm2_code"":24235,""adm2_name"":""Rizal""}]",2005-07-28,2023-09-25,2004-11-29,2004-11-30,-0.22918458928740526,4
2004-0618-PHL,No,nat-met-sto-tro,Natural,Meteorological,9,37,GLIDE:TC-2024-000161,Nanmadol (Yoyong/30W),PHL,31,South-eastern Asia,0,Region V (Bicol region) province,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17379297619633716,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2004,11.0,30.0,2004,12.0,3.0,-0.053263202121751695,8.0,70480.0,3000.0,-0.09912167751514495,10000000.0,10411641.0,147000.0,199782.0,34000.0,54848.0,61.98958593432169,"[{""adm1_code"":2361,""adm1_name"":""Region V (Bicol region)""}]",2006-05-12,2023-09-25,2004-11-30,2004-12-03,-0.19122249284353773,4
2004-0618-TWN,No,nat-met-sto-tro,Natural,Meteorological,9,37,GLIDE:TC-2024-000161,Nanmadol (Yoyong/30W),TWN,39,Eastern Asia,0,Taiwan Sheng province,Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17577646831005322,Kph,0.11112317404147908,0.11843532489868315,Yangtze river,2004,12.0,4.0,2004,12.0,4.0,-0.054493331297753314,44.0,22200.0,3000.0,-0.10561246826679517,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm1_code"":925,""adm1_name"":""Taiwan Sheng""}]",2004-12-16,2023-09-25,2004-12-04,2004-12-04,-0.248165637509339,1
2004-0619-CHN,No,nat-geo-mmd-lan,Natural,Geophysical,7,19,GLIDE:TC-2024-000161,Dengue,CHN,6,Eastern Asia,0,"Zuojiaying village (Liupanshui Shi area, Liupanshui district, Guizhou Sheng province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2004,12.0,3.0,2004,12.0,3.0,-0.04440627205454004,13.0,22200.0,340.0,-0.10695860785130712,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm2_code"":13064,""adm2_name"":""Liupanshui""}]",2014-07-11,2023-09-25,2004-12-03,2004-12-03,-0.248165637509339,1
2004-0626-IRN,No,nat-hyd-flo-fla,Natural,Hydrological,4,9,GLIDE:TC-2024-000161,Dengue,IRN,14,Southern Asia,0,"Kalameh village (Dashtestan district, Bushehr province), Assalouyeh city (Kangan district, Bushehr province), Sarbaz city (Iranshahr district, Sistan-o baluchestan province), Tangestan district (Bushehr province), Bandar-e abbas district (Hormozgan province), Sirjan district (Kerman province)",Heavy rain,"Slide (land, mud, snow, rock)",No,No,No,1068.0,5.597640143487051,Km2,0.11112317404147908,0.11843532489868315,"Sarbaz, Kahir",2004,12.0,9.0,2004,12.0,28.0,-0.04686653040654328,43.0,22200.0,4000.0,-0.10654628486078258,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm2_code"":40927,""adm2_name"":""Dashtestan""},{""adm2_code"":40988,""adm2_name"":""Kangan""},{""adm2_code"":41126,""adm2_name"":""Tangestan""},{""adm2_code"":40896,""adm2_name"":""Bandar-e abbas""},{""adm2_code"":41116,""adm2_name"":""Sirjan""},{""adm2_code"":40976,""adm2_name"":""Iranshahr""}]",2005-03-08,2023-09-25,2004-12-09,2004-12-28,0.11247427870740241,1
2004-0634-PHL,No,nat-hyd-mmw-lan,Natural,Hydrological,8,20,GLIDE:TC-2024-000161,Dengue,PHL,31,South-eastern Asia,0,"Tinambac area (Camarines Sur district, Region V (Bicol region) province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,0.11112317404147908,0.11843532489868315,Yangtze river,2004,12.0,13.0,2004,12.0,13.0,-0.053263202121751695,6.0,22200.0,3000.0,-0.10699738185610712,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm2_code"":24242,""adm2_name"":""Camarines Sur""}]",2004-12-21,2023-09-25,2004-12-13,2004-12-13,-0.248165637509339,1
2004-0635-MYS,No,nat-hyd-flo-riv,Natural,Hydrological,4,27,GLIDE:TC-2024-000161,Dengue,MYS,24,South-eastern Asia,0,"Bera area (Temerluh district, Pahang province), Kuantan, Pekan districts (Pahang province), Kota Bharu, Gua Musang, Kuala Krai, Tanah Merah, Pasir Mas, Machang, Tumpat districts (Kelantan province), Dungun, Kemaman, Hulu Terengganu, Besut, Setiu districts (Terengganu province),",Monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,0.11112317404147908,0.11843532489868315,"Kelantan, Lebir, Golok, Semerak, Tambatan Diraja, Dungun, Galas, Temala",2004,12.0,10.0,2004,12.0,18.0,-0.052033072945750075,44.0,22200.0,15000.0,-0.10532194258241473,10000000.0,10411641.0,147000.0,199782.0,10000.0,16132.0,61.98958593432169,"[{""adm2_code"":37357,""adm2_name"":""Gua Musang""},{""adm2_code"":37359,""adm2_name"":""Kota Bharu""},{""adm2_code"":37360,""adm2_name"":""Kuala Krai""},{""adm2_code"":37361,""adm2_name"":""Machang""},{""adm2_code"":37362,""adm2_name"":""Pasir Mas""},{""adm2_code"":37364,""adm2_name"":""Tanah Merah""},{""adm2_code"":37365,""adm2_name"":""Tumpat""},{""adm2_code"":37381,""adm2_name"":""Kuantan""},{""adm2_code"":37384,""adm2_name"":""Pekan""},{""adm2_code"":37387,""adm2_name"":""Temerluh""},{""adm2_code"":37463,""adm2_name"":""Besut""},{""adm2_code"":37464,""adm2_name"":""Dungun""},{""adm2_code"":37465,""adm2_name"":""Hulu Terengganu""},{""adm2_code"":37466,""adm2_name"":""Kemaman""},{""adm2_code"":37469,""adm2_name"":""Setiu""}]",2005-01-03,2023-09-25,2004-12-10,2004-12-18,-0.09631725173386894,1
2004-0635-THA,No,nat-hyd-flo-riv,Natural,Hydrological,4,27,GLIDE:TC-2024-000161,Dengue,THA,41,South-eastern Asia,0,"Su Kirin district (Narathiwat province), Muang Nakhon Si Thammarat, Hua Sai, Pak Phanang, Ron Phibun districts (Nakhon Si Thammarat province), Muang Phatthalung, Kong Ra districts (Phatthalung province), Than To district (Yala province)",Monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17485083865698572,Km2,0.11112317404147908,0.11843532489868315,Sungai Kolok and Saiburi rivers,2004,12.0,10.0,2004,12.0,18.0,-0.05473935713295364,44.0,5000.0,3000.0,-0.10643934906080102,10000000.0,10411641.0,147000.0,199782.0,175000.0,282305.0,61.98958593432169,"[{""adm2_code"":26742,""adm2_name"":""Hua Sai""},{""adm2_code"":26746,""adm2_name"":""Muang Nakhon Si Thammarat""},{""adm2_code"":26748,""adm2_name"":""Pak Phanang""},{""adm2_code"":26751,""adm2_name"":""Ron Phibun""},{""adm2_code"":26776,""adm2_name"":""Su Kirin""},{""adm2_code"":26842,""adm2_name"":""Kong Ra""},{""adm2_code"":26843,""adm2_name"":""Muang Phattalung""},{""adm2_code"":27185,""adm2_name"":""Than To""}]",2005-01-03,2023-09-25,2004-12-10,2004-12-18,-0.09631725173386894,1
2004-0652-LKA,No,nat-hyd-flo-riv,Natural,Hydrological,4,27,GLIDE:TC-2024-000161,Dengue,LKA,36,Southern Asia,0,"Kilinochchi, Jaffna, Vavuniya, Mullattivu districts (North province), Matara district (Southern province), North Central, Eastern provinces",Monsoonal rain,"Slide (land, mud, snow, rock)",No,No,No,1068.0,0.13325160300690772,Km2,0.11112317404147908,0.11843532489868315,Mahaweli,2004,12.0,11.0,2004,12.0,23.0,-0.05375525379215235,44.0,200000.0,3000.0,-0.08464992273226854,10000000.0,10411641.0,147000.0,199782.0,71000.0,97703.0,61.98958593432169,"[{""adm1_code"":2737,""adm1_name"":""Eastern""},{""adm1_code"":2738,""adm1_name"":""North Central""},{""adm2_code"":25839,""adm2_name"":""Jaffna""},{""adm2_code"":25840,""adm2_name"":""Kilinochchi""},{""adm2_code"":25842,""adm2_name"":""Mullattivu""},{""adm2_code"":25843,""adm2_name"":""Vavuniya""},{""adm2_code"":25848,""adm2_name"":""Matara""}]",2005-01-03,2023-09-25,2004-12-11,2004-12-23,-0.0203930588461339,1
2004-0659-BGD,No,nat-geo-ear-tsu,Natural,Geophysical,1,38,GLIDE:TC-2024-000161,Dengue,BGD,3,Southern Asia,0,"Barisal, Chittagong, Khulna provinces",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17684623172338407,Moment Magnitude,-3.001246314701324,-0.12881754613135588,Yangtze river,2004,12.0,26.0,2004,12.0,26.0,-0.05473935713295364,44.0,22200.0,3000.0,-0.10561246826679517,10000000.0,10411641.0,147000.0,199782.0,500000.0,806587.0,61.98958593432169,"[{""adm1_code"":575,""adm1_name"":""Barisal""},{""adm1_code"":576,""adm1_name"":""Chittagong""},{""adm1_code"":578,""adm1_name"":""Khulna""}]",2014-03-27,2023-09-25,2004-12-26,2004-12-26,-0.248165637509339,1
2004-0659-IDN,No,nat-geo-ear-tsu,Natural,Geophysical,1,38,GLIDE:TC-2024-000161,Dengue,IDN,13,South-eastern Asia,0,"Nangroe Aceh Darussalam, Sumatera Utara provinces",Heavy rains,Tsunami/Tidal wave,No,No,No,1068.0,-0.17684623172338407,Moment Magnitude,-3.001246314701324,-0.12881754613135588,Yangtze river,2004,12.0,26.0,2004,12.0,26.0,40.71321769057188,44.0,22200.0,532898.0,-0.04745168454808494,10000000.0,10411641.0,225000.0,362964.0,4451600.0,7181206.0,61.98958593432169,"[{""adm1_code"":1512,""adm1_name"":""Nangroe Aceh Darussalam""},{""adm1_code"":1537,""adm1_name"":""Sumatera Utara""}]",2014-03-27,2023-09-25,2004-12-26,2004-12-26,-0.248165637509339,1
2004-0659-IND,No,nat-geo-ear-tsu,Natural,Geophysical,1,38,GLIDE:TC-2024-000161,Dengue,IND,12,Southern Asia,0,"Kancheepuram, Villupuram, Nagapattinam, Thoothukudi, Tirunelveli Kattabo, Kanniyakumari, Chennai, Thiruvallur, Cuddalore, Pudukkottai, Ramanathapuram, Sivaganga, Thanjavur districts (Tamil Nadu province), Vishakhapatnam, East Godavari, West Godavari, Krishna, Guntur, Prakasam, Nellore districts (Andhra Pradesh province), Kollam, Alappuzha, Ernakulam districts (Kerala province), Puducherry, Karaikal district (Puducherry province), Andaman and Nicobar province",Earthquake,"Slide (land, mud, snow, rock)",Yes,No,No,1068.0,-0.17684623172338407,Moment Magnitude,-3.001246314701324,-0.12881754613135588,Yangtze river,2004,12.0,26.0,2004,12.0,26.0,3.9768860042947503,6913.0,647599.0,3000.0,-0.03386245740183803,10000000.0,10411641.0,5000.0,8066.0,1022800.0,1649955.0,61.98958593432169,"[{""adm1_code"":1484,""adm1_name"":""Andaman and Nicobar""},{""adm2_code"":17551,""adm2_name"":""East Godavari""},{""adm2_code"":17552,""adm2_name"":""Guntur""},{""adm2_code"":17556,""adm2_name"":""Krishna""},{""adm2_code"":17561,""adm2_name"":""Nellore""},{""adm2_code"":17563,""adm2_name"":""Prakasam""},{""adm2_code"":17566,""adm2_name"":""Vishakhapatnam""},{""adm2_code"":17569,""adm2_name"":""West Godavari""},{""adm2_code"":17699,""adm2_name"":""Ernakulam""},{""adm2_code"":17707,""adm2_name"":""Kollam""},{""adm2_code"":70298,""adm2_name"":""Alappuzha""},{""adm2_code"":17866,""adm2_name"":""Thoothukudi""},{""adm2_code"":17870,""adm2_name"":""Kanniyakumari""},{""adm2_code"":17876,""adm2_name"":""Pudukkottai""},{""adm2_code"":17878,""adm2_name"":""Ramanathapuram""},{""adm2_code"":17881,""adm2_name"":""Thanjavur""},{""adm2_code"":17882,""adm2_name"":""Sivaganga""},{""adm2_code"":17884,""adm2_name"":""Tirunelveli Kattabo""},{""adm2_code"":70242,""adm2_name"":""Chennai""},{""adm2_code"":70243,""adm2_name"":""Cuddalore""},{""adm2_code"":70244,""adm2_name"":""Kancheepuram""},{""adm2_code"":70247,""adm2_name"":""Nagapattinam""},{""adm2_code"":70251,""adm2_name"":""Thiruvallur""},{""adm2_code"":70255,""adm2_name"":""Villupuram""},{""adm2_code"":70226,""adm2_name"":""Karaikal""},{""adm2_code"":70228,""adm2_name"":""Puducherry""}]",2014-03-27,2023-09-25,2004-12-26,2004-12-26,-0.248165637509339,1
2004-0659-LKA,No,nat-geo-ear-tsu,Natural,Geophysical,1,38,GLIDE:TC-2024-000161,Dengue,LKA,36,Southern Asia,0,"Jaffna, Kilinochchi, Mullativu, Trincomalee, Batticaloa, Ampara, Hambantota, Matara, Galle, Kalutara, Colombo, Gampaha, Puttalam, Vavuniya districts",Heavy rains,"Slide (land, mud, snow, rock)",Yes,No,No,1068.0,-0.17684623172338407,Moment Magnitude,-3.001246314701324,-0.12881754613135588,Yangtze river,2004,12.0,26.0,2004,12.0,26.0,8.653837131452903,23176.0,516130.0,480000.0,0.006899860485806451,10000000.0,10411641.0,147000.0,199782.0,1316500.0,2123744.0,61.98958593432169,"[{""adm2_code"":25832,""adm2_name"":""Ampara""},{""adm2_code"":25833,""adm2_name"":""Batticaloa""},{""adm2_code"":25834,""adm2_name"":""Trincomalee""},{""adm2_code"":25838,""adm2_name"":""Puttalam""},{""adm2_code"":25839,""adm2_name"":""Jaffna""},{""adm2_code"":25840,""adm2_name"":""Kilinochchi""},{""adm2_code"":25842,""adm2_name"":""Mullattivu""},{""adm2_code"":25843,""adm2_name"":""Vavuniya""},{""adm2_code"":25846,""adm2_name"":""Galle""},{""adm2_code"":25847,""adm2_name"":""Hambantota""},{""adm2_code"":25848,""adm2_name"":""Matara""},{""adm2_code"":25851,""adm2_name"":""Colombo""},{""adm2_code"":25852,""adm2_name"":""Gampaha""},{""adm2_code"":25853,""adm2_name"":""Kalutara""}]",2014-03-27,2023-09-25,2004-12-26,2004-12-26,-0.248165637509339,1
2004-0659-MDV,No,nat-geo-ear-tsu,Natural,Geophysical,1,38,GLIDE:TC-2024-000161,Dengue,MDV,25,Southern Asia,0,"Alifu Alifu, Alifu Dhaalu, Baa, Faafu, Gaafu Alifu, Gaafu Dhaalu, Haa Alifu, Haa Dhaalu, Kaafu, Laamu, Lhaviyani, Male', Meemu, Noonu, Raa, Seenu, Shaviyani, Thaa, Vaavu provinces",Heavy rains,Tsunami/Tidal wave,Yes,No,Yes,1068.0,-0.17684623172338407,Moment Magnitude,-3.001246314701324,-0.12881754613135588,Yangtze river,2004,12.0,26.0,2004,12.0,26.0,-0.03013677361292127,2214.0,12000.0,13000.0,-0.10395714230971373,10000000.0,10411641.0,147000.0,199782.0,470100.0,758353.0,61.98958593432169,"[{""adm1_code"":1905,""adm1_name"":""Alifu Alifu""},{""adm1_code"":1906,""adm1_name"":""Alifu Dhaalu""},{""adm1_code"":1907,""adm1_name"":""Baa""},{""adm1_code"":1908,""adm1_name"":""Dhaalu""},{""adm1_code"":1909,""adm1_name"":""Faafu""},{""adm1_code"":1910,""adm1_name"":""Gaafu Alifu""},{""adm1_code"":1911,""adm1_name"":""Gaafu Dhaalu""},{""adm1_code"":1913,""adm1_name"":""Haa Alifu""},{""adm1_code"":1914,""adm1_name"":""Haa Dhaalu""},{""adm1_code"":1915,""adm1_name"":""Kaafu""},{""adm1_code"":1916,""adm1_name"":""Laamu""},{""adm1_code"":1917,""adm1_name"":""Lhaviyani""},{""adm1_code"":1918,""adm1_name"":""Male'""},{""adm1_code"":1919,""adm1_name"":""Meemu""},{""adm1_code"":1920,""adm1_name"":""Noonu""},{""adm1_code"":1921,""adm1_name"":""Raa""},{""adm1_code"":1922,""adm1_name"":""Seenu""},{""adm1_code"":1923,""adm1_name"":""Shaviyani""},{""adm1_code"":1924,""adm1_name"":""Thaa""},{""adm1_code"":1925,""adm1_name"":""Vaavu""}]",2014-03-27,2023-09-25,2004-12-26,2004-12-26,-0.248165637509339,1
2004-0659-MMR,No,nat-geo-ear-tsu,Natural,Geophysical,1,38,GLIDE:TC-2024-000161,Dengue,MMR,27,South-eastern Asia,0,"Kawthoung, Pyapon, Pathein districts (Ayeyawaddy province), Kawthoung district (Taninthayi province), Sittwe district (Rakhine province)",Heavy rains,"Slide (land, mud, snow, rock)",No,No,No,1068.0,-0.17684623172338407,Moment Magnitude,-3.001246314701324,-0.12881754613135588,Yangtze river,2004,12.0,26.0,2004,12.0,26.0,-0.03776357450413131,44.0,12500.0,3200.0,-0.1052437241289277,10000000.0,10411641.0,147000.0,199782.0,500000.0,806587.0,61.98958593432169,"[{""adm2_code"":41813,""adm2_name"":""Sittwe""},{""adm2_code"":41779,""adm2_name"":""Myaungmya""},{""adm2_code"":41780,""adm2_name"":""Pathein""},{""adm2_code"":41781,""adm2_name"":""Pyapon""},{""adm2_code"":41835,""adm2_name"":""Kawthoung""}]",2014-03-27,2023-09-25,2004-12-26,2004-12-26,-0.248165637509339,1
2004-0659-MYS,No,nat-geo-ear-tsu,Natural,Geophysical,1,38,GLIDE:TC-2024-000161,Dengue,MYS,24,South-eastern Asia,0,"Barat Daya, Timur Laut district (Pulau Pinang province)",Heavy rains,Tsunami/Tidal wave,Yes,No,No,1068.0,-0.17684623172338407,Moment Magnitude,-3.001246314701324,-0.12881754613135588,Yangtze river,2004,12.0,26.0,2004,12.0,26.0,-0.03554934198732839,767.0,22200.0,4296.0,-0.10643230939998718,10000000.0,10411641.0,147000.0,199782.0,500000.0,806587.0,61.98958593432169,"[{""adm2_code"":37400,""adm2_name"":""Barat Daya""},{""adm2_code"":37404,""adm2_name"":""Timur Laut""}]",2014-03-27,2023-09-25,2004-12-26,2004-12-26,-0.248165637509339,1
